"","Zomato.address","Zomato.name","Zomato.online_order","Zomato.book_table","Zomato.rate","Zomato.votes","Zomato.location","Zomato.approx_cost.for.two.people.","Zomato.RestoCOde"
"4615","931, 2nd Stage, 4th Cross Road, BTM","Nellore Dosa Camp","No","No",3.3,5,"BTM","70","931, 2nd Stage, 4th Cross Road, BTMNellore Dosa Camp"
"4616","20th, Maruthi Nagar Main Road, 1st Stage","Sri Saravana Bhavan","No","No",3.7,35,"BTM","200","20th, Maruthi Nagar Main Road, 1st StageSri Saravana Bhavan"
"4617","317/373, 1st Stage, Gangothri Circle, Maruthi Nagar","Gangothri Kabab Corner","No","No",3.1,18,"BTM","400","317/373, 1st Stage, Gangothri Circle, Maruthi NagarGangothri Kabab Corner"
"4618","1st Main Road, Zuzuvadi, Madiwala, 1st Stage, BTM, Bangalore","Thalassery Cafe","No","No",3.4,7,"BTM","150","1st Main Road, Zuzuvadi, Madiwala, 1st Stage, BTM, BangaloreThalassery Cafe"
"4619","5, 1st Main Road, Buvannapa Layout, Kaveri Layout, Suddagunte Palya, Bengaluru","Cafe 58","No","No",3.4,4,"BTM","200","5, 1st Main Road, Buvannapa Layout, Kaveri Layout, Suddagunte Palya, BengaluruCafe 58"
"4620","5, Opposite Sandhya Talkies, Old Madiwala Road, BTM, Bangalore","Five Star Chicken","Yes","No",3.5,24,"BTM","350","5, Opposite Sandhya Talkies, Old Madiwala Road, BTM, BangaloreFive Star Chicken"
"4621","82, Tavarekere Main Road","Mangalore Lunch Home","Yes","No",3.6,42,"BTM","250","82, Tavarekere Main RoadMangalore Lunch Home"
"4622","75/4, Maruthi Nagar Main Road, 1st Stage","Meat And Eat","Yes","No",3.1,15,"BTM","500","75/4, Maruthi Nagar Main Road, 1st StageMeat And Eat"
"4623","13, Near Christ College, Hosur Road","Sri Vishnupriya","No","No",3,67,"BTM","300","13, Near Christ College, Hosur RoadSri Vishnupriya"
"4624","13, Ground Floor, 4th Main, S.G.Palaya, Tavarekere Main Road, BTM, Bangalore","Aarya Pork Hotel","No","No",3.3,11,"BTM","300","13, Ground Floor, 4th Main, S.G.Palaya, Tavarekere Main Road, BTM, BangaloreAarya Pork Hotel"
"4625","294, 7th Main, 7th Cross, BTM 2nd Stage, BTM, Bangalore","Sri Krishna Sagar","No","No",3.6,11,"BTM","200","294, 7th Main, 7th Cross, BTM 2nd Stage, BTM, BangaloreSri Krishna Sagar"
"4626","14, Krishnanagara Industrial Area, Next to Christ College, BTM, Bangalore","Pout","No","No",4,40,"BTM","400","14, Krishnanagara Industrial Area, Next to Christ College, BTM, BangalorePout"
"4627","489, 29th Main, 9th Cross, 2nd Stage, BTM, Bangalore","Hotel Meed Cafe","No","No",3.2,5,"BTM","250","489, 29th Main, 9th Cross, 2nd Stage, BTM, BangaloreHotel Meed Cafe"
"4628","104/1, Near Laxmi Theatre, Gopal Reddy Building, Tavarekere Main Road","Karavali Lunch Home","No","No",3.3,4,"BTM","200","104/1, Near Laxmi Theatre, Gopal Reddy Building, Tavarekere Main RoadKaravali Lunch Home"
"4629","100, 8th Cross Road, 1st Stage, BTM, Bangalore","Sri Udupi Sagar","No","No",3.5,12,"BTM","200","100, 8th Cross Road, 1st Stage, BTM, BangaloreSri Udupi Sagar"
"4630","128/3, NS Palya, Behind Shoppers' Stop, BTM Layout, Bangalore, BTM, Bangalore","Hot Burg","No","No",3.5,14,"BTM","300","128/3, NS Palya, Behind Shoppers' Stop, BTM Layout, Bangalore, BTM, BangaloreHot Burg"
"4631","14, 10th Cross, Christ School Road, SG Palya, DRC Post","Ande Ka Funda","No","No",2.8,60,"BTM","250","14, 10th Cross, Christ School Road, SG Palya, DRC PostAnde Ka Funda"
"4632","9th A Main Road, Behind HDFC Bank,1st Stage, BTM, Bangalore","Desi Adda","No","No",3.3,22,"BTM","300","9th A Main Road, Behind HDFC Bank,1st Stage, BTM, BangaloreDesi Adda"
"4633","402, 3rd Cross, 23rd Main, 2nd Stage, BTM, Bangalore","Basawa Hotel","No","No",3.4,8,"BTM","250","402, 3rd Cross, 23rd Main, 2nd Stage, BTM, BangaloreBasawa Hotel"
"4634","16, VP Road, Near Sandhya Theatre, Old Madiwala, BTM, Bangalore","Friend's Kitchen","No","No",3.5,10,"BTM","150","16, VP Road, Near Sandhya Theatre, Old Madiwala, BTM, BangaloreFriend's Kitchen"
"4635","Near Forum Mall Signal, Tavarekere Main Road, BTM, Bangalore","South Side","No","No",3.3,6,"BTM","250","Near Forum Mall Signal, Tavarekere Main Road, BTM, BangaloreSouth Side"
"4636","28th, 8th Cross, Maruthi Nagar, Madiwala, BTM, Bangalore, Bengaluru","Barkat","No","No",3.4,5,"BTM","250","28th, 8th Cross, Maruthi Nagar, Madiwala, BTM, Bangalore, BengaluruBarkat"
"4637","62, 8th Main, 1st Stage, BTM, Bangalore","C K Bake & Juice","No","No",3.1,10,"BTM","150","62, 8th Main, 1st Stage, BTM, BangaloreC K Bake & Juice"
"4638","Thavrekera Main Road, Near Health India Hospital, RMV Shelder, BTM, Bangalore","Hotel Mirchi Red","No","No",3,32,"BTM","400","Thavrekera Main Road, Near Health India Hospital, RMV Shelder, BTM, BangaloreHotel Mirchi Red"
"4639","68, 7th Main Road, N S Palya, Stage 2, BTM Layout, Bangalore","SGS Non Veg - Gundu Pulav","Yes","No",3.6,41,"BTM","400","68, 7th Main Road, N S Palya, Stage 2, BTM Layout, BangaloreSGS Non Veg - Gundu Pulav"
"4640","Davanam Plaza, Next To Total Mall Madivala, Hosur Road, Sidharata Colony, Santhosapuram, Koramangala 2nd Block, Bangalore","Gallop Bar - Davanam Sarovar Portico Suites","No","No",3.5,8,"Koramangala 2nd Block","1,600","Davanam Plaza, Next To Total Mall Madivala, Hosur Road, Sidharata Colony, Santhosapuram, Koramangala 2nd Block, BangaloreGallop Bar - Davanam Sarovar Portico Suites"
"4641","6, Z1 Construction Building, 5th Floor, Next To Sapna Book House, 20th Main Road, Koramangala 7th Block, Bangalore","Bombay Adda","No","Yes",4.5,2225,"Koramangala 7th Block","1,100","6, Z1 Construction Building, 5th Floor, Next To Sapna Book House, 20th Main Road, Koramangala 7th Block, BangaloreBombay Adda"
"4642","17th Main Road, JNC Road, Koramangala 5th Block, Bangalore","The Reservoire","No","Yes",4.5,2540,"Koramangala 5th Block","1,300","17th Main Road, JNC Road, Koramangala 5th Block, BangaloreThe Reservoire"
"4643","5th Floor, 6th Block, Elite Building, Industrial Layout, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore","Indigo XP","No","No",4.3,2349,"Koramangala 5th Block","1,400","5th Floor, 6th Block, Elite Building, Industrial Layout, Jyoti Nivas College Road, Koramangala 5th Block, BangaloreIndigo XP"
"4644","115, 3rd Floor, Opposite Raheja Arcade, Koramangala 7th Block, Bangalore","Fenny's Lounge And Kitchen","No","Yes",4.5,6348,"Koramangala 7th Block","1,600","115, 3rd Floor, Opposite Raheja Arcade, Koramangala 7th Block, BangaloreFenny's Lounge And Kitchen"
"4645","66, Ground Floor, JNC Road, Koramangala 5th Block, Bangalore","Sharief Bhai","No","Yes",4.3,1520,"Koramangala 5th Block","700","66, Ground Floor, JNC Road, Koramangala 5th Block, BangaloreSharief Bhai"
"4646","Shop 44, 4th B Cross Road, Koramangala 5th Block, Bangalore","ECHOES Koramangala","No","No",4.7,3197,"Koramangala 5th Block","750","Shop 44, 4th B Cross Road, Koramangala 5th Block, BangaloreECHOES Koramangala"
"4647","12, 17th Main, 1st Cross, 5th A Block, Koramangala 5th Block, Bangalore","Chianti","No","Yes",4.7,4845,"Koramangala 5th Block","1,500","12, 17th Main, 1st Cross, 5th A Block, Koramangala 5th Block, BangaloreChianti"
"4648","104, 3rd Floor, 1st Main, 5th Block, Jatti Building, Koramangala 5th Block, Bangalore","Drava","No","Yes",4.4,110,"Koramangala 5th Block","1,500","104, 3rd Floor, 1st Main, 5th Block, Jatti Building, Koramangala 5th Block, BangaloreDrava"
"4649","413, 100 Feet Road, Next E-Zone, Koramangala 4th Block, Bangalore","The Terrace at Gilly's Redefined","No","Yes",4.6,866,"Koramangala 4th Block","1,400","413, 100 Feet Road, Next E-Zone, Koramangala 4th Block, BangaloreThe Terrace at Gilly's Redefined"
"4650","2nd Floor, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore","The Boozy Griffin","No","Yes",4.6,4947,"Koramangala 5th Block","1,800","2nd Floor, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, BangaloreThe Boozy Griffin"
"4651","105, 3rd Floor, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore","Simon Says Brew Works","No","Yes",4.5,1932,"Koramangala 5th Block","1,400","105, 3rd Floor, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, BangaloreSimon Says Brew Works"
"4652","413, 100 Feet Road, Koramangala 4th Block, Bangalore","Myu Bar at Gilly's Redefined","No","Yes",4.4,1213,"Koramangala 4th Block","1,200","413, 100 Feet Road, Koramangala 4th Block, BangaloreMyu Bar at Gilly's Redefined"
"4653","#20, 1st Floor, 1st Cross, 5th A Block, JNC road, Koramangala 5th Block, Bangalore","Kobe Sizzlers","No","Yes",4.1,1786,"Koramangala 5th Block","1,000","#20, 1st Floor, 1st Cross, 5th A Block, JNC road, Koramangala 5th Block, BangaloreKobe Sizzlers"
"4654","53/1, 2, 4th Floor, SV Arcade, Bilekahalli, Bannerghatta Road, Bangalore","Public - The Rooftop Bar And Kitchen","No","Yes",4.3,956,"Bannerghatta Road","1,000","53/1, 2, 4th Floor, SV Arcade, Bilekahalli, Bannerghatta Road, BangalorePublic - The Rooftop Bar And Kitchen"
"4655","Opposite Jayadeva Hospital, 9th Block, Off Bannerghatta Road, Jayanagar, Bangalore","Al-Bek","Yes","No",3.9,682,"Jayanagar","650","Opposite Jayadeva Hospital, 9th Block, Off Bannerghatta Road, Jayanagar, BangaloreAl-Bek"
"4656","1313, Near Bangalore Central Mall, 25th Main, 9th Block, Jayanagar, Bangalore","Shanmukha","Yes","No",4.4,1944,"Jayanagar","800","1313, Near Bangalore Central Mall, 25th Main, 9th Block, Jayanagar, BangaloreShanmukha"
"4657","25, 1st Floor, 5th Cross, Koramangala 5th Block, Bangalore","Chinita Real Mexican Food","No","No",4.5,729,"Koramangala 5th Block","1,200","25, 1st Floor, 5th Cross, Koramangala 5th Block, BangaloreChinita Real Mexican Food"
"4658","104, 5th Floor, Industrial Area, Koramangala 5th Block, Bangalore","Karama Restaurant","Yes","No",4.1,1555,"Koramangala 5th Block","750","104, 5th Floor, Industrial Area, Koramangala 5th Block, BangaloreKarama Restaurant"
"4659","147/D, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore","Sathya's","No","Yes",4.1,759,"Koramangala 3rd Block","1,200","147/D, 8th Main Road, 3rd Block, Koramangala 3rd Block, BangaloreSathya's"
"4660","115, First Floor, Opposite Raheja Arcade, Koramangala 7th Block, Bangalore","Rajdhani Thali Restaurant","Yes","Yes",4,792,"Koramangala 7th Block","900","115, First Floor, Opposite Raheja Arcade, Koramangala 7th Block, BangaloreRajdhani Thali Restaurant"
"4661","129, 5th Block, KHB Colony, Koramangala 5th Block, Bangalore","Chung Wah","Yes","No",4,313,"Koramangala 5th Block","800","129, 5th Block, KHB Colony, Koramangala 5th Block, BangaloreChung Wah"
"4662","88, KK Centre, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore","Mani's Dum Biryani","Yes","No",3.9,778,"Koramangala 5th Block","750","88, KK Centre, Jyoti Nivas College Road, Koramangala 5th Block, BangaloreMani's Dum Biryani"
"4663","99, Ground Floor, 4th B Cross, 1st Main Road, Koramangala 5th Block, Bangalore","Tilt Gastro Lounge","No","Yes",4.1,1235,"Koramangala 5th Block","1,500","99, Ground Floor, 4th B Cross, 1st Main Road, Koramangala 5th Block, BangaloreTilt Gastro Lounge"
"4664","Nandhana Grand Hotel, 52, 6th Cross, 5th Main, 60 Feet Road, Koramangala 6th Block, Bangalore","52 Wall Street","No","No",3.9,737,"Koramangala 6th Block","1,400","Nandhana Grand Hotel, 52, 6th Cross, 5th Main, 60 Feet Road, Koramangala 6th Block, Bangalore52 Wall Street"
"4665","146, Koramangala 5th Block, Bangalore","Bulls N Bears - Bar Trade Xchange","No","Yes",3.9,144,"Koramangala 5th Block","1,000","146, Koramangala 5th Block, BangaloreBulls N Bears - Bar Trade Xchange"
"4666","7, 100 Feet Road, Next to BDA Complex, Koramangala 4th Block, Bangalore","Sutra Spice-The Resto Bar","No","No",3.9,31,"Koramangala 4th Block","1,000","7, 100 Feet Road, Next to BDA Complex, Koramangala 4th Block, BangaloreSutra Spice-The Resto Bar"
"4667","61, 1st Main, Koramangala 7th Block, Bangalore","Smoke - The Sizzler House","Yes","Yes",4,1382,"Koramangala 7th Block","1,100","61, 1st Main, Koramangala 7th Block, BangaloreSmoke - The Sizzler House"
"4668","359, Koramangala 7th Block, Bangalore","JukeBox","No","Yes",3.9,281,"Koramangala 7th Block","1,000","359, Koramangala 7th Block, BangaloreJukeBox"
"4669","46, 4th B Cross Road, Koramangala 5th Block, Bangalore","Sherlock's Pub","No","Yes",3.9,579,"Koramangala 5th Block","1,300","46, 4th B Cross Road, Koramangala 5th Block, BangaloreSherlock's Pub"
"4670","Outer Ring Road, 5th Phase, JP Nagar, Bangalore","Starbucks","No","No",4.2,386,"JP Nagar","700","Outer Ring Road, 5th Phase, JP Nagar, BangaloreStarbucks"
"4671","Inn @ Silicon Valley, 756/L-189, Sector 6, Silk Board Junction, HSR, Bangalore","Lounge 189","No","No",3.8,157,"HSR","1,300","Inn @ Silicon Valley, 756/L-189, Sector 6, Silk Board Junction, HSR, BangaloreLounge 189"
"4672","360, 2nd Floor, Near HDFC Bank,7th Block, Koramangala 7th Block, Bangalore","Axomi - Taste of Assam","Yes","No",4,610,"Koramangala 7th Block","500","360, 2nd Floor, Near HDFC Bank,7th Block, Koramangala 7th Block, BangaloreAxomi - Taste of Assam"
"4673","44, Kutchi Bhavan, Opposite To Mini Forest, 1st Main, JP Nagar 3rd Phase, JP Nagar, Bangalore","Mavalli Tiffin Room (MTR)","No","No",4.1,873,"JP Nagar","300","44, Kutchi Bhavan, Opposite To Mini Forest, 1st Main, JP Nagar 3rd Phase, JP Nagar, BangaloreMavalli Tiffin Room (MTR)"
"4674","1820, 41st Cross, 9th Block, Jayanagar, Bangalore","Uttar Karnataka Meals Restaurant","No","No",3.7,26,"Jayanagar","200","1820, 41st Cross, 9th Block, Jayanagar, BangaloreUttar Karnataka Meals Restaurant"
"4675","123, KHB 1st Cross Road, Koramangala 5th Block, Bangalore","Leon Grill","Yes","No",4.3,165,"Koramangala 5th Block","500","123, KHB 1st Cross Road, Koramangala 5th Block, BangaloreLeon Grill"
"4676","56, JNC Road, Koramangala 5th Block, Bangalore","IDC Kitchen","No","No",4.2,51,"Koramangala 5th Block","200","56, JNC Road, Koramangala 5th Block, BangaloreIDC Kitchen"
"4677","122, KHB Colony, Koramangala 5th Block, Bangalore","The Underground Gastropub","No","No",3,37,"Koramangala 5th Block","1,000","122, KHB Colony, Koramangala 5th Block, BangaloreThe Underground Gastropub"
"4678","L 191,6th Sector HSR Layout,Near Silk Board Junction, HSR, Bangalore","New Prashanth Hotel","Yes","No",3.1,53,"HSR","750","L 191,6th Sector HSR Layout,Near Silk Board Junction, HSR, BangaloreNew Prashanth Hotel"
"4679","118, Unit 1, Bavar Atrium, Industrial Area, Koramangala 7th Block, Bangalore","Burger King","Yes","No",3.9,1043,"Koramangala 7th Block","600","118, Unit 1, Bavar Atrium, Industrial Area, Koramangala 7th Block, BangaloreBurger King"
"4680","413, 100 Feet Road, Next to E-Zone, Koramangala 4th Block, Bangalore","Fandom at Gilly's Redefined","No","No",3.8,103,"Koramangala 4th Block","1,500","413, 100 Feet Road, Next to E-Zone, Koramangala 4th Block, BangaloreFandom at Gilly's Redefined"
"4681","134, KHB Colony, Koramangala 5th Block, Bangalore","Atta Galata","No","No",4.1,208,"Koramangala 5th Block","200","134, KHB Colony, Koramangala 5th Block, BangaloreAtta Galata"
"4682","305, Anand NR Onyx, 15th Cross, 100ft Ring Road, 5th Phase Extention, JP Nagar, Bangalore","Drunken Monkey","Yes","No",3.7,125,"JP Nagar","400","305, Anand NR Onyx, 15th Cross, 100ft Ring Road, 5th Phase Extention, JP Nagar, BangaloreDrunken Monkey"
"4683","348, 17th B Main Road, KHB Block, Koramangala 5th Block, Bangalore","Mizo Kitchen","No","No",3.8,27,"Koramangala 5th Block","400","348, 17th B Main Road, KHB Block, Koramangala 5th Block, BangaloreMizo Kitchen"
"4684","3rd Floor, 100 Feet Road, Near BDA complex, Koramangala 4th Block, Bangalore","Barcode","No","Yes",3.8,169,"Koramangala 4th Block","1,300","3rd Floor, 100 Feet Road, Near BDA complex, Koramangala 4th Block, BangaloreBarcode"
"4685","348/349, 7th Block, 80 Feet Road, Opposite HDFC Bank, Koramangala 7th Block, Bangalore","Udupi Upahar","No","No",3.6,16,"Koramangala 7th Block","300","348/349, 7th Block, 80 Feet Road, Opposite HDFC Bank, Koramangala 7th Block, BangaloreUdupi Upahar"
"4686","East End Main Road, 9th Block, Jayanagar, Bangalore","Amaravathi Bar & Restaurant","No","No",3.7,43,"Jayanagar","400","East End Main Road, 9th Block, Jayanagar, BangaloreAmaravathi Bar & Restaurant"
"4687","202, 4th Cross, 17th E Main, 5th Block, Koramangala 5th Block, Bangalore","Taruni Andhra Mess","No","No",3.6,23,"Koramangala 5th Block","200","202, 4th Cross, 17th E Main, 5th Block, Koramangala 5th Block, BangaloreTaruni Andhra Mess"
"4688","49/5, 1st Floor, 1st Main Road, Koramangala 5th Block, Bangalore","Flavor of Tibet","No","No",4,57,"Koramangala 5th Block","400","49/5, 1st Floor, 1st Main Road, Koramangala 5th Block, BangaloreFlavor of Tibet"
"4689","155, 7th Block, Koramangala 7th Block, Bangalore","New Ambur Biryani","No","No",3.2,6,"Koramangala 7th Block","150","155, 7th Block, Koramangala 7th Block, BangaloreNew Ambur Biryani"
"4690","31/1, 22nd Main, 2nd Phase, JP Nagar, Bangalore","Nammura Upahara","No","No",3.8,40,"JP Nagar","100","31/1, 22nd Main, 2nd Phase, JP Nagar, BangaloreNammura Upahara"
"4691","72, TSN Arcade, 28th Main Road, Near Karnataka Bank, 9th Block, Jayanagar, Bangalore","Donne Biriyani House","Yes","No",3.5,406,"Jayanagar","400","72, TSN Arcade, 28th Main Road, Near Karnataka Bank, 9th Block, Jayanagar, BangaloreDonne Biriyani House"
"4692","37th Cross, 18th Main, 4 T Block, Jayanagar, Bangalore","Polar Bear","Yes","No",3.8,46,"Jayanagar","400","37th Cross, 18th Main, 4 T Block, Jayanagar, BangalorePolar Bear"
"4693","1230, 26th Main, 9th Block, Jayanagar, Bangalore","Raghavendra Upahara","No","No",3.7,20,"Jayanagar","200","1230, 26th Main, 9th Block, Jayanagar, BangaloreRaghavendra Upahara"
"4694","340,1st B Cross Road, Koramangala 7th Block, Bangalore","Selfie Cafe","No","No",3.7,19,"Koramangala 7th Block","300","340,1st B Cross Road, Koramangala 7th Block, BangaloreSelfie Cafe"
"4695","Solitaire, 62, Ground Floor, 1st A Main, Koramangala 7th Block, Bangalore","The Golden Spoon Restaurant Meat & Wine","No","No",3.5,14,"Koramangala 7th Block","1,000","Solitaire, 62, Ground Floor, 1st A Main, Koramangala 7th Block, BangaloreThe Golden Spoon Restaurant Meat & Wine"
"4696","3rd Floor, Bangalore Central Mall, 9th Block, Jayanagar, Bangalore","Amrit","No","No",3.4,24,"JP Nagar","600","3rd Floor, Bangalore Central Mall, 9th Block, Jayanagar, BangaloreAmrit"
"4697","Transit, Forum Mall, Koramangala 7th Block, Bangalore","Shiv Sagar","No","No",3.9,152,"Koramangala 7th Block","500","Transit, Forum Mall, Koramangala 7th Block, BangaloreShiv Sagar"
"4698","23, 23rd Main Marenahalli, 2nd Phase JP Nagar, Bangalore","Tasty Bites","Yes","No",3.8,1,"JP Nagar","450","23, 23rd Main Marenahalli, 2nd Phase JP Nagar, BangaloreTasty Bites"
"4699","462, Opposite Fernhill Garden Apartments, Teachers Colony, Ring Road, HSR, Bangalore","A Bar","No","No",3.3,19,"HSR","600","462, Opposite Fernhill Garden Apartments, Teachers Colony, Ring Road, HSR, BangaloreA Bar"
"4700","2nd Floor, Transit, Forum Mall, Koramangala 7th Block, Bangalore Koramangala 7th Block","Tibbs Frankie","No","No",3.5,70,"Koramangala 7th Block","200","2nd Floor, Transit, Forum Mall, Koramangala 7th Block, Bangalore Koramangala 7th BlockTibbs Frankie"
"4701","2nd Floor, Transit, Forum Mall, Koramangala 7th Block, Bangalore","Coconadu","No","No",3.7,36,"Koramangala 7th Block","400","2nd Floor, Transit, Forum Mall, Koramangala 7th Block, BangaloreCoconadu"
"4702","Near Ragigudda Temple, 3rd Cross, 8th Main, Southend Road, JP Nagar 3rd Phase, JP Nagar, Bangalore","SLV Restaurant","No","No",4.2,377,"JP Nagar","300","Near Ragigudda Temple, 3rd Cross, 8th Main, Southend Road, JP Nagar 3rd Phase, JP Nagar, BangaloreSLV Restaurant"
"4703","60, Opposite HDFC Bank, 1st Cross, Koramangala 7th Block, Bangalore","Udupi Grand","No","No",2.8,64,"Koramangala 7th Block","300","60, Opposite HDFC Bank, 1st Cross, Koramangala 7th Block, BangaloreUdupi Grand"
"4704","217, 1st Main Road, 7th Block, Bangalore","CHAAI BEE","No","No",3.5,8,"Koramangala 7th Block","250","217, 1st Main Road, 7th Block, BangaloreCHAAI BEE"
"4705","122/A, KHB Colony, Koramangala 5th Block, Bangalore","Cool Lassi Burger","No","No",3.1,7,"Koramangala 5th Block","200","122/A, KHB Colony, Koramangala 5th Block, BangaloreCool Lassi Burger"
"4706","337, 1st B Main, Koramangala 7th Block, Bangalore","Malnad Military Hotel","No","No",3.8,40,"Koramangala 7th Block","500","337, 1st B Main, Koramangala 7th Block, BangaloreMalnad Military Hotel"
"4707","428,17 A Main, KHB Colony, Koramangala 5th Block, Bangalore","Sri Vinayaka Andhra Mess","No","No",3.3,4,"Koramangala 5th Block","300","428,17 A Main, KHB Colony, Koramangala 5th Block, BangaloreSri Vinayaka Andhra Mess"
"4708","483, KHB Colony, Koramangala 5th Block, Bangalore","Bakimo","No","No",3.5,7,"Koramangala 5th Block","850","483, KHB Colony, Koramangala 5th Block, BangaloreBakimo"
"4709","80, 4th B Cross, Opposite BDA Complex, Koramangala 4th Block, Bangalore","Daily Bread","No","No",2.8,53,"Koramangala 4th Block","600","80, 4th B Cross, Opposite BDA Complex, Koramangala 4th Block, BangaloreDaily Bread"
"4710","208, 1st Main, 7th Block, Koramangala 7th Block, Bangalore","Desi Dhaba","No","No",3.7,34,"Koramangala 7th Block","300","208, 1st Main, 7th Block, Koramangala 7th Block, BangaloreDesi Dhaba"
"4711","Opposite The Forum Mall, Koramangala 7th Block, Bangalore","Sri Krishna Sagar","No","No",3.5,12,"Koramangala 7th Block","300","Opposite The Forum Mall, Koramangala 7th Block, BangaloreSri Krishna Sagar"
"4712","Food Court, Forum Mall, Koramangala, Koramangala 7th Block, Bangalore","Malabar Coastal Cuisine","No","No",3.6,68,"Koramangala 7th Block","550","Food Court, Forum Mall, Koramangala, Koramangala 7th Block, BangaloreMalabar Coastal Cuisine"
"4713","336, 1st B Main, 7th Block, Koramangala 7th Block, Bangalore","Chai Chowk","No","No",3.8,82,"Koramangala 7th Block","200","336, 1st B Main, 7th Block, Koramangala 7th Block, BangaloreChai Chowk"
"4714","368, Swagath Main Road, Thilaknagar, Jayanagar, Bangalore","Hotel Paradise","No","No",3.3,5,"Jayanagar","200","368, Swagath Main Road, Thilaknagar, Jayanagar, BangaloreHotel Paradise"
"4715","126, 8th Main, 3rd Phase, JP Nagar, Bangalore","Waikiki","No","No",3.2,5,"JP Nagar","200","126, 8th Main, 3rd Phase, JP Nagar, BangaloreWaikiki"
"4716","7, 2nd Floor, 4th B Block, 100 Feet Road, Koramangala 4th Block, Bangalore","H3O","No","No",3.3,4,"Koramangala 4th Block","1,000","7, 2nd Floor, 4th B Block, 100 Feet Road, Koramangala 4th Block, BangaloreH3O"
"4717","Venkatapura Main Road, Koramangala 1st Block","Ambur Biryani Hotel","No","No",3.2,13,"Koramangala 1st Block","200","Venkatapura Main Road, Koramangala 1st BlockAmbur Biryani Hotel"
"4718","Shop 182, KHP Colony, 17D Main, Koramangala 5th Block, Bangalore","Shree Nandini Andhra Mess","No","No",3.3,5,"Koramangala 5th Block","150","Shop 182, KHP Colony, 17D Main, Koramangala 5th Block, BangaloreShree Nandini Andhra Mess"
"4719","4th Floor, Food Court, Bangalore Central, 9th Block, JP Nagar, Bangalore","Juice Buzz","No","No",3.1,10,"JP Nagar","200","4th Floor, Food Court, Bangalore Central, 9th Block, JP Nagar, BangaloreJuice Buzz"
"4720","Level 2, Transit Food Court, Forum Mall, Koramangala 7th Block, Bangalore","Falafel's - The Lebanese Haus","No","No",2.9,53,"Koramangala 7th Block","300","Level 2, Transit Food Court, Forum Mall, Koramangala 7th Block, BangaloreFalafel's - The Lebanese Haus"
"4721","76/5, SR Krishnappa Garden, 32nd East Cross, Tilak Nagar, Jayanagar, Bangalore","Dadaba's","No","No",3.3,6,"Jayanagar","300","76/5, SR Krishnappa Garden, 32nd East Cross, Tilak Nagar, Jayanagar, BangaloreDadaba's"
"4722","4 M Block, Central Mall, 9th Block, JP Nagar, Bangalore","Cafe Bollywood","No","No",3.4,25,"JP Nagar","200","4 M Block, Central Mall, 9th Block, JP Nagar, BangaloreCafe Bollywood"
"4723","50, 5th Main, KHB MIG Colony, JNC Road, Koramangala 5th Block, Bangalore","Cool Point","No","No",3.2,7,"Koramangala 5th Block","100","50, 5th Main, KHB MIG Colony, JNC Road, Koramangala 5th Block, BangaloreCool Point"
"4724","372, Swagath Main Road, Thilaknagar, Jayanagar, Bangalore","Fahad Hotel","No","No",3.3,4,"Jayanagar","200","372, Swagath Main Road, Thilaknagar, Jayanagar, BangaloreFahad Hotel"
"4725","4th Floor, Food Court, Bangalore Central Mall, 9th Block, Jayanagar, Bangalore","Combo King Paramount","No","No",3.1,12,"Jayanagar","500","4th Floor, Food Court, Bangalore Central Mall, 9th Block, Jayanagar, BangaloreCombo King Paramount"
"4726","146, Ground Floor, 17th C Main Road, Srirampuram, Koramangala 5th Block, Bengaluru","Krupa Sagar","No","No",3.2,4,"Koramangala 5th Block","300","146, Ground Floor, 17th C Main Road, Srirampuram, Koramangala 5th Block, BengaluruKrupa Sagar"
"4727","93,MM complex, Ground Floor, 17th Main, KHB Colony, Koramangala 5th Block, Bangalore","Egg House","No","No",2.9,14,"Koramangala 5th Block","400","93,MM complex, Ground Floor, 17th Main, KHB Colony, Koramangala 5th Block, BangaloreEgg House"
"4728","125-126, 1st A Cross Road, Koramangala 5th Block, Bangalore","Dry Dock Cafe","No","No",3.6,10,"Koramangala 5th Block","200","125-126, 1st A Cross Road, Koramangala 5th Block, BangaloreDry Dock Cafe"
"4729","122A, KHB Colony, Koramangala 5th Block, Bangalore","Rolls On Wheel","No","No",3,18,"Koramangala 5th Block","300","122A, KHB Colony, Koramangala 5th Block, BangaloreRolls On Wheel"
"4730","336, 1st B Main, 7th Block, Koramangala 7th Block, Bangalore","Chowk Tea Stall","No","No",3.4,8,"Koramangala 7th Block","100","336, 1st B Main, 7th Block, Koramangala 7th Block, BangaloreChowk Tea Stall"
"4731","125, 5th Block, Koramangala 5th Block, Bangalore","Jayanthi Sagar","No","No",3.1,21,"Koramangala 5th Block","200","125, 5th Block, Koramangala 5th Block, BangaloreJayanthi Sagar"
